company,country,launch_site,launch_date,launch_year,launch_month,rocket_status,rocket_cost,mission_status,success_flag,mission_detail
ULA,USA,SLC-2W,2006-12-14 21:00:00+00:00,2006.0,12.0,Retired,62.0,Success,1,Delta II 7920-10C | NROL-21
NASA,USA,LC-39B,2006-12-10 00:47:00+00:00,2006.0,12.0,Retired,450.0,Success,1,Space Shuttle Discovery | STS-116
Arianespace,France,ELA-3,2006-12-08 22:08:00+00:00,2006.0,12.0,Active,200.0,Success,1,Ariane 5 ECA | WildBlue-1 & AMC-18
CASC,China,LC-2,2006-12-08 00:53:00+00:00,2006.0,12.0,Active,69.7,Success,1,Long March 3A | Fengyun-2D
Boeing,USA,SLC-17A,2006-11-17 19:12:00+00:00,2006.0,11.0,Retired,62.0,Success,1,Delta II 7925 | GPS IIRM-3
Boeing,USA,SLC-6,2006-11-04 13:53:00+00:00,2006.0,11.0,Retired,133.0,Success,1,Delta IV Medium | DMSP F17
Sea Launch,Russia,LP Odyssey,2006-10-30 23:48:00+00:00,2006.0,10.0,Active,62.0,Success,1,Zenit-3 SL | XM-4
CASC,China,LC-2,2006-10-28 16:20:00+00:00,2006.0,10.0,Active,62.0,Success,1,Long March 3B | SinoSat 2
Boeing,USA,SLC-17B,2006-10-26 00:52:00+00:00,2006.0,10.0,Retired,62.0,Success,1,Delta II 7925-10L | STEREO
CASC,China,LC-7,2006-10-23 23:34:00+00:00,2006.0,10.0,Active,64.68,Success,1,Long March 4B | Shijian-6C & 6D
Arianespace,France,ELA-3,2006-10-13 20:56:00+00:00,2006.0,10.0,Active,200.0,Success,1,"Ariane 5 ECA | DirecTV-9S, Optus D1, LDREX-2"
Boeing,USA,SLC-17A,2006-09-25 18:50:00+00:00,2006.0,9.0,Retired,62.0,Success,1,Delta II 7925 | GPS IIRM-2
ISAS,Japan,Mu Pad,2006-09-22 21:36:00+00:00,2006.0,9.0,Retired,62.0,Success,1,"Mu-V / M-25 | SSSat 2, Hinode & Camatai"
CASC,China,LC-2,2006-09-12 16:02:00+00:00,2006.0,9.0,Active,69.7,Success,1,Long March 3A | Chinasat-22A
MHI,Japan,LA-Y1,2006-09-11 04:35:00+00:00,2006.0,9.0,Active,90.0,Success,1,H-IIA 202 | IGS-Optical 2
NASA,USA,LC-39B,2006-09-09 15:14:00+00:00,2006.0,9.0,Retired,450.0,Success,1,Space Shuttle Atlantis | STS-115
CASC,China,Site 9401 (SLS-2),2006-09-09 07:00:00+00:00,2006.0,9.0,Active,30.8,Success,1,Long March 2C | Shijian-8
Sea Launch,Russia,LP Odyssey,2006-08-22 03:26:00+00:00,2006.0,8.0,Active,62.0,Success,1,Zenit-3 SL | Koreasat 5
Arianespace,France,ELA-3,2006-08-11 22:15:00+00:00,2006.0,8.0,Active,200.0,Success,1,Ariane 5 ECA | JCSAT-10 & Syracuse 3B
Eurockot,Russia,Site 133/3,2006-07-28 07:05:00+00:00,2006.0,7.0,Retired,41.8,Success,1,Rokot/Briz KM | KompSat-2
Kosmotras,Russia,Site 109/95,2006-07-26 19:43:00+00:00,2006.0,7.0,Retired,29.0,Failure,0,Dnepr | BelKa 1 & Others
VKS RF,Russia,Site 16/2,2006-07-21 04:20:00+00:00,2006.0,7.0,Retired,62.0,Success,1,Molniya-M /Block 2BL | Cosmos 2422
Kosmotras,Russia,Site 370/13,2006-07-12 14:53:00+00:00,2006.0,7.0,Retired,29.0,Success,1,Dnepr | Genesis 1
ISRO,India,Second Launch Pad,2006-07-10 12:08:00+00:00,2006.0,7.0,Retired,47.0,Failure,0,GSLV Mk I | INSAT-4C
NASA,USA,LC-39B,2006-07-04 18:37:00+00:00,2006.0,7.0,Retired,450.0,Success,1,Space Shuttle Discovery | STS-121
Boeing,USA,SLC-6,2006-06-28 03:33:00+00:00,2006.0,6.0,Retired,164.0,Success,1,"Delta IV Medium+ (4,2) | NROL-22"
